id,label,type,color,size,degree
http://dbpedia.org/ontology/iataLocationIdentifier,IATA Location Identifier,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/teamTitle,team title,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/restriction,restriction,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/dryCargo,dry cargo (g),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/hipSize,hip size (μ),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/volcanoId,volcano id,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/silCode,SIL code,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/longtype,longtype,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/historicalMap,historical map,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/unicode,unicode,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/crosses,crosses,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/governorate,governorate,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/RocketEngine,rocket engine,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/continentalTournamentSilver,continental tournament silver,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/wimbledonMixed,wimbledon mixed,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/parliamentType,parliament type,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/reference,reference,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfSettlement,number of settlement,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/achievement,achievement,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/carcinogen,carcinogen,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/flagLink,flag Link,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/location,location,ObjectProperty,#BDC3C7,5,4
http://dbpedia.org/ontology/HistoricalCountry,Historical country,Class,#FF6B6B,5,3
