source,target,source_label,target_label,predicate,predicate_label,edge_type
http://dbpedia.org/ontology/nciId,literal_6702119446994303503,NCI,"""NCI""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/VicePrimeMinister,literal_-2146195277555706438,vice prime minister,"""vice prime minister""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/SoccerLeague,http://www.w3.org/2002/07/owl#Class,soccer league,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/SpaceMission/distanceTraveled,literal_-7870416210244078285,distance traveled (km),"""distance traveled (km)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/currentRank,literal_-2577409015519758635,current rank,"""current rank""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/WrittenWork,http://dbpedia.org/ontology/Work,written work,work,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/deaths,literal_6804603039556348406,Deaths,"""Deaths""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/meshNumber,literal_-8101350806816306445,MeSH number,"""MeSH number""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Broadcaster,http://www.w3.org/2002/07/owl#Class,broadcaster,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/hsvCoordinateValue,literal_6430849229941546086,value coordinate in the HSV colour space,"""value coordinate in the HSV colour space""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/longDistancePisteKilometre,literal_2888512468843108382,long distance piste kilometre (μ),"""long distance piste kilometre (μ)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/soccerLeagueWinner,literal_2513276773961177239,league champion,"""league champion""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Sculpture,http://www.w3.org/2002/07/owl#Class,Sculpture,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Writer,literal_6900122512774400569,writer,"""writer""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/radius_ly,http://www.w3.org/2002/07/owl#DatatypeProperty,Radius_ly,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/finalPublicationDate,literal_885359487386464423,final publication date,"""final publication date""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/GolfTournament,http://dbpedia.org/ontology/Tournament,golf tournament,tournament,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/landRegistryCode,literal_-3489498246813209066,land registry code,"""land registry code""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/minTime,http://www.w3.org/2002/07/owl#DatatypeProperty,minimum preparation time (s),DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/SoccerPlayer,http://dbpedia.org/ontology/Athlete,soccer player,athlete,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/solubility,literal_686861131097805680,solubility,"""solubility""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/material,http://www.w3.org/2002/07/owl#ObjectProperty,material,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/PrimeMinister,literal_6231435766912880990,prime minister,"""prime minister""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/BasketballLeague,http://dbpedia.org/ontology/SportsLeague,basketball league,sports league,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
